Measurement : Å											
Device : DataPhysics OCA - Series											
Customer : DataPhysics											
Sample : Not Defined											
Operator : Ruben											
Remarks : DataPhysics											
											
Run-Num.	Volume	Drop	Type	Error	Theta(M)	Base Diameter	Solid	Mag-factor	IFT	Comment	Age
329	-999	Water	SD	-999	38,2	3,0982		171,78	0		404222
330	-999	Water	SD	-999	39,1	3,0856		171,78	0		404262
331	-999	Water	SD	-999	39,6	3,0915		171,78	0		404299
332	-999	Water	SD	-999	41	3,1148		171,78	0		404348
333	-999	Water	SD	-999	40,5	3,0742		171,78	0		404387
334	-999	Water	SD	-999	41,7	3,1151		171,78	0		404424
335	-999	Water	SD	-999	42,6	3,1155		171,78	0		404473
336	-999	Water	SD	-999	42,6	3,1155		171,78	0		404516
337	-999	Water	SD	-999	42,8	3,068		171,78	0		404560
338	-999	Water	SD	-999	43,3	3,0741		171,78	0		404598
339	-999	Water	SD	-999	44,3	3,1159		171,78	0		404644
340	-999	Water	SD	-999	44,2	3,0975		171,78	0		404687
341	-999	Water	SD	-999	45,1	3,0855		171,78	0		404727
342	-999	Water	SD	-999	46,2	3,1736		171,78	0		404772
343	-999	Water	SD	-999	46,6	3,1908		171,78	0		404816
344	-999	Water	SD	-999	45,9	3,1795		171,78	0		404858
345	-999	Water	SD	-999	47,7	3,2022		171,78	0		404924
346	-999	Water	SD	-999	48,6	3,2022		171,78	0		404972
347	-999	Water	SD	-999	50,3	3,2024		171,78	0		405034
348	-999	Water	SD	-999	50,4	3,2023		171,78	0		405085
349	-999	Water	SD	-999	51,4	3,208		171,78	0		405131
350	-999	Water	SD	-999	52,2	3,2139		171,78	0		405172
351	-999	Water	SD	-999	52,9	3,2081		171,78	0		405225
352	-999	Water	SD	-999	53,1	3,2081		171,78	0		405266
353	-999	Water	SD	-999	54,2	3,2139		171,78	0		405316
354	-999	Water	SD	-999	54,6	3,2198		171,78	0		405368
355	-999	Water	SD	-999	55,6	3,2196		171,78	0		405427
356	-999	Water	SD	-999	56,6	3,2197		171,78	0		405472
357	-999	Water	SD	-999	56,6	3,2197		171,78	0		405516
358	-999	Water	SD	-999	57,3	3,2197		171,78	0		405569
359	-999	Water	SD	-999	57,9	3,2255		171,78	0		405612
360	-999	Water	SD	-999	58,8	3,2253		171,78	0		405660
